,test_name,server_type,worker_type,framework,exec_type,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
0,gunicorn-gevent-flask-sync-SyncCalcDistanceUser,gunicorn,gevent,flask,sync,,Aggregated,3720,0,16,18.233870967741936,7,50,3.0,265.5201746726317,0.0,14,16,22,22,22,22,23,24,27,41,50,50
1,gunicorn-gevent-flask-sync-SyncPassThroughUser,gunicorn,gevent,flask,sync,,Aggregated,71522,0,0,0.3833645591566231,0,282,3.0,5107.646833931616,0.0,0,0,0,1,1,1,1,2,2,7,160,280
2,gunicorn-sync-flask-sync-SyncCalcDistanceUser,gunicorn,sync,flask,sync,,Aggregated,3554,0,17,19.09510410804727,7,64,3.0,253.66262007131215,0.0,13,17,21,23,25,30,35,42,45,58,64,64
3,gunicorn-sync-flask-sync-SyncPassThroughUser,gunicorn,sync,flask,sync,,Aggregated,15120,0,1,1.412962962962963,0,55,3.0,2567.095920633844,0.0,1,1,1,2,2,2,3,4,5,23,54,55
4,hypercorn-asyncio-quart-async-AsyncCalcDistanceUser,hypercorn,asyncio,quart,async,,Aggregated,130,0,530,527.2461538461539,511,542,3.0,9.46363188463294,0.0,520,530,530,530,540,540,540,540,540,540,540,540
5,hypercorn-asyncio-quart-async-AsyncPassThroughUser,hypercorn,asyncio,quart,async,,Aggregated,1362,0,49,50.618942731277535,11,80,3.0,97.17336799791865,0.0,49,49,50,51,51,59,60,61,62,77,80,80
6,hypercorn-asyncio-quart-sync-SyncCalcDistanceUser,hypercorn,asyncio,quart,sync,,Aggregated,1133,0,59,60.998234774933806,47,99,3.0,80.86000184005286,0.0,58,59,60,67,69,70,72,80,87,99,99,99
7,hypercorn-asyncio-quart-sync-SyncPassThroughUser,hypercorn,asyncio,quart,sync,,Aggregated,1348,0,50,51.15059347181009,13,80,3.0,96.258666242991,0.0,49,50,50,51,52,59,61,62,67,79,80,80
8,hypercorn-uvloop-quart-async-AsyncCalcDistanceUser,hypercorn,uvloop,quart,async,,Aggregated,325,0,210,213.15076923076924,98,357,3.0,23.28018516093408,0.0,180,210,240,250,260,280,310,330,340,360,360,360
9,hypercorn-uvloop-quart-async-AsyncPassThroughUser,hypercorn,uvloop,quart,async,,Aggregated,60032,0,0,0.589785447761194,0,17,3.0,4286.949439143636,0.0,0,0,1,1,1,1,2,2,3,4,14,17
10,hypercorn-uvloop-quart-sync-SyncCalcDistanceUser,hypercorn,uvloop,quart,sync,,Aggregated,3535,0,17,19.203677510608205,7,97,3.0,252.209633757718,0.0,12,17,22,24,26,32,38,45,49,67,97,97
11,hypercorn-uvloop-quart-sync-SyncPassThroughUser,hypercorn,uvloop,quart,sync,,Aggregated,49167,0,1,0.8764821933410621,0,16,3.0,3510.826420677751,0.0,0,1,1,1,1,2,2,2,3,6,13,16
